title,link,company,summary
SOFTWARE ENGINEER,https://www.indeed.hk/rc/clk?jk=1e21890625797806&fccid=8890e369e0dcd2d6&vjs=3,BrainStormHK,Experience on mobile software development on either Android or iOS is a plus. Roles & Responsibilities:....
Team Lead/ Senior/ Junior Front-end Developer,https://www.indeed.hk/rc/clk?jk=9f8634a649dfb232&fccid=0a44471391b8b4c8&vjs=3,Fully Union Technology Company,"Lead software engineers to deliver high-quality software according to time schedule. Software design, system development, development testing and deployment of..."
Project Engineer,https://www.indeed.hk/company/Honeywell-Ltd-Hong-Kong/jobs/Project-Engineer-79a3f1585b3e993d?fccid=fc94638efe1ab0f9&vjs=3,Honeywell Limited,"Experience in computer systems, such as, Microsoft Office Professional, Software Programming, Computer System Networking, etc...."
Senior Programmer/Developer,https://www.indeed.hk/company/Jointak-Group-Limited/jobs/Senior-Programmer-Developer-6cb5eadeddfefcf1?fccid=035e1fa31d1285af&vjs=3,JoinPrint,"Liaise with network administrators, systems analysts, and software engineers to assist in resolving problems with software products or company software systems...."
Software Developer / Software Engineer (JAVA),https://www.indeed.hk/company/BAOXI-Technology-Limited/jobs/Software-Developer-5c808efe936f52b9?fccid=085fdb8e5d581668&vjs=3,BAOXI Technology Limited,"Responsibilities: * Analyze, design, implement and support cutting edge web applications across a diverse range of products * Prepare and maintain system..."
Engineer I (Engineering Systems),https://www.indeed.hk/rc/clk?jk=ff857eb32fc0e816&fccid=1ee4ec4da71f754d&vjs=3,HK Electric Investments,Engineer I (Engineering Systems). _ A minimum of 5 yearsÍ relevant experience in design and implementation of application software....
CUSTOMER ENGINEER/ TECHNICIAN,https://www.indeed.hk/rc/clk?jk=61be0983ccad27d0&fccid=f7ddc1488d264f97&vjs=3,Rovertech Limited,PC hardware and basic software installation and relocation. PC hardware maintenance & support services....
Mechanical Engineer,https://www.indeed.hk/rc/clk?jk=461e84e8326b0ba6&fccid=40e88cc46c5b4b51&vjs=3,Ramseier Koatings,"Substantial experience in mapping software (2D, 3D design software, non-standard, automatic). Male or female, aged between 28 and 45, with a college degree or..."
Software Engineer,https://www.indeed.hk/rc/clk?jk=98553b2bee3f3c9b&fccid=f61d7502194bc65c&vjs=3,Optix Sol,"Minimum 2 yearsÍ relevant experience in software development. Involved with the whole system development cycle - architecture design, software development,..."
Network Engineer,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoQozJpomXrJdDbu-pnOdoPGzsYH4YPavsEiRmwq6P4JiHOi6GrSyWqxa9WzCRqqAKd_Rk-1xUusGHRI4Zcud_-miD45_Nw07y7QDdKjkbD3EJ3nZKdOB9PpzFoXaSHZf2rmV5Cd2ho4Jw66SnybHD5vAs_KE3tc4nYxFEuc-rNQhJMhsRv2A6WeLyVg7y5-IK0D-9BXqnvazlQTCMx2hSpktn8HwrHpqiuKYOwlIAG1U9V-PsXNPC-p6aIl41MD5n6LxNurws7vQ5uU1gzm_gn9q2-LlGRMsUURS1iVXIlPZELaX4jB6Ds4_10FFbLMTOF2W1NyieaNm3wm4VC_GU2Y5hbddPn1X7-NTbBON6sY_PgRqAGC9tXpHpKcl763izdytgr4ioloMpCUmP87CfZJwcOfKpxMeB4MILl6wpLT1QCLER-F7aoVOzSfQmhE0YxVHxk2MBhp8oWK52WulpMDEfpBRG5_UI_oHn2oZGLdb3dANd7qSxNTm-lNR61Lxo4MFK9PUE6WCznUg3UMouv2zst9qrsoXJ0SWNpgIylvtP4v1rGECFX8g2H4sYHDYKE6_2EfdZjp7A1G7OWl8j9skKs03_oRjPsftNKzJHIyS80IOEDqNx6kzDD01wRJWfzTH9dmrqDg84muJXaSzakxDlKYx6MluZUIYYywY721nHSItJQmFAFg2fqrfdC9fSKs9ISBGBOXgYURuIWQjguFRDPb_dcnf0bOsSDFGaaIPXmKrJhJJ9HjkA54lH726RDeifS6TuIwng==&vjs=3&p=13&fvj=0,Thakral One Pte Ltd,"Cisco IOS software including exposure to IOS XR. Cisco certified CCNP, CCIE with extensive knowledge of...."
Software Engineer(Yau Tsim Mong),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0AMuD6leFL2LQyShjXlW-_0CmOvDvwZ81xsEIpB6r-nL_yWVFyNGcKud4N7pUx71AevPO3276hMgG8jrcDXhqoRe6cWsgkW5ZElsIH3aOCk2ZRHf5NeE1y15n9d2Wik5QHFsZHHseG09VuOmUYzy6crt1DcpH0_wpBWcAj3CxHLF4NsKeEuX9z_hegAsfLmIlzGV7rsmFkuQVl1AuvWtOfve1JfnH0hAnEuWjIBc_b90MUjD0CDEZWANbDue9ZoGjIPnx0ILWHmqoAjlBnkefN0D4Ml5Iw-6H7vxG0NFL7CR9fcSTu1IC07zTQN_olKg4AMBx-9237jLwun3lodXVTtbh5azT8BNmbD3dNFHj575JwUni1xqRbrS2Ob3De7jxdIwIfbv0ijGMGlL3UBLAm7JX4S-RCAOEY0V2EnlKImLGX0GQ4RBk0nO1nPiI54s6J3vPLhmxUjYe8fuvlyVSBVJpPk55XQu7OVySpXSghqIazZcYQEJOkRBFkr85KIe9CqN4AA1TE6jWVrSMMs6qI9CnnCfNiwPsZ9PrntfsmEvwss6t2uUGSr0rbOtoHXJuYMIWSpIFZjHHyiNy_6Q7qSmfxcgQRDvas=&vjs=3&p=14&fvj=0,Reeracoen Hong Kong,"Software Engineer, Programmer, Other(IT/Internet/Telecommunications) Engineer. Programming for image processing software with C++. IT/Telecommunications...."
